cct,nombre,cv_estatus,estatus,nivel1,nivel2,sostenimiento,municipio
26FFS0061I,CENTRO DE EDUCACION FISICA NUM. 35,1,ACTIVO,,,,HERMOSILLO
26FIS5019Y,SUPERVISION DE SECUNDARIA ESTATAL NUM. 19,1,ACTIVO,,,,HERMOSILLO
26FZP0056N,INSPECCION DE PREESCOLAR ESTATAL NUM. 17,1,ACTIVO,,,,HERMOSILLO
26FZI0110H,SUPERVISION DE ZONA NUM. 260110,1,ACTIVO,,,,NAVOJOA
26EEF5066J,CENTRO DE EDUCACION FISICA ESTATAL,0,INACTIVO,,,,HUACHINERA
26AIZ0041G,INSPECCION ESCOLAR NUM. 41,0,INACTIVO,,,,EMPALME
26PJN0368X,PREESCOLAR CREATIVO BILINGÃE,1,ACTIVO,PREESCOLAR,GENERAL,NO ESPECIFICADO,HERMOSILLO
26MMS0321Y,CENTRO DE ESTUDIOS DE BACHILLERATO SONORA S. C.,1,ACTIVO,,,NO ESPECIFICADO,HERMOSILLO
26FIC0480P,CENTRO DE APOYO A LA EDUCACIÃN INICIAL DEL CONAFE MASIACA 2,1,ACTIVO,,,,NAVOJOA
26MMS0165X,TELEBACHILLERATO COMUNITARIO DE PLAN DE AYALA,1,ACTIVO,,,NO ESPECIFICADO,HERMOSILLO
26DJN0674Z,ELBA ARREOLA DE LA PAZ,1,ACTIVO,PREESCOLAR,GENERAL,NO ESPECIFICADO,MAGDALENA
26KJN0021K,PREESCOLAR COMUNITARIO,1,ACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,ÃLAMOS
26KPR0047I,CURSO COMUNITARIO,0,INACTIVO,PRIMARIA,COMUNITARIO,NO ESPECIFICADO,CAJEME
26EJN0182M,BLANCA AZUCENA ESQUER TORRES,1,ACTIVO,PREESCOLAR,GENERAL,NO ESPECIFICADO,HERMOSILLO
26PBH0252D,BACHILLERATO BINACIONAL PARA EL DESARROLLO SOSTENIBLE,1,ACTIVO,MEDIA SUPERIOR,BACHILLERATO GENERAL,NO ESPECIFICADO,HERMOSILLO
26PSU0045Q,INSTITUTO SUPERIOR Y DE DESARROLLO EMPRESARIAL,0,INACTIVO,SUPERIOR,LICENCIATURA Y POSGRADO,NO ESPECIFICADO,HERMOSILLO
26DPR0373U,BENITO JUAREZ,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,CAJEME
26DPR0383A,NIÂ¥OS HEROES,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,ETCHOJOA
26DPR0393H,ARTICULO 115 CONSTITUCIONAL,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,PUERTO PEÃASCO
26DPR0457B,NARCISO MENDOZA,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,HERMOSILLO
26DPR0619X,AMADO NERVO,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,ACONCHI
26DPR0632R,BENITO JUAREZ,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,HERMOSILLO
26PPR0205C,INSTITUTO IMURIS,0,INACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,IMURIS
26DPR1355L,BELISARIO DOMINGUEZ,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,NAVOJOA
26PSU0094Z,CENTRO DE ESTUDIOS UNIVERSITARIOS DEL NUEVO OCCIDENTE,1,ACTIVO,SUPERIOR,LICENCIATURA Y POSGRADO,NO ESPECIFICADO,HERMOSILLO
26FIC0662Y,CENTRO DE APOYO A LA EDUCACIÃN INICIAL DEL CONAFE VILLA PESQUEIRA (MÃTAPE) 3,0,INACTIVO,,,,VILLA PESQUEIRA
26DPR0142C,NARCISO MENDOZA,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,NAVOJOA
26DPR0541Z,MARIANO MATAMOROS,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,HUATABAMPO
26DPR0849P,27 DE AGOSTO,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,NOGALES
26DPR0870S,JESUS GARCIA,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,HERMOSILLO
26DPR1148D,JOSE MA MORELOS Y PAVON,0,INACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,ETCHOJOA
26DPR1152Q,GENERAL LAZARO CARDENAS DEL RIO,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,ETCHOJOA
26DPR1275Z,12 DE OCTUBRE,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,SAN IGNACIO RÃO MUERTO
26DPR1324S,HEROES DE MEXICO,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,NAVOJOA
26DPR1346D,MANUEL FERRA MARTINEZ,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,NAVOJOA
26DPR1384G,VICENTE LOMBARDO TOLEDANO,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,HERMOSILLO
26PET0077G,INSTITUTO DE PROCESOS Y PRACTICAS SONORA,0,INACTIVO,MEDIA SUPERIOR,PROFESIONAL TÃCNICO,NO ESPECIFICADO,CAJEME
26PES0125K,I C E J A C,0,INACTIVO,SECUNDARIA,GENERAL,NO ESPECIFICADO,HERMOSILLO
26KPR0071I,CURSO COMUNITARIO,1,ACTIVO,PRIMARIA,COMUNITARIO,NO ESPECIFICADO,CUMPAS
26PET0054W,INSTITUTO TECNICO DE ENFERMERIA OBREGON,0,INACTIVO,MEDIA SUPERIOR,PROFESIONAL TÃCNICO,NO ESPECIFICADO,CAJEME
26DPR0095I,5 DE FEBRERO,0,INACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,BACANORA
26DPR1220X,PATRIA,0,INACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,CAJEME
26PES0105X,SECUNDARIA SECCION 54 DEL SNTE NUM. 13,0,INACTIVO,SECUNDARIA,GENERAL,NO ESPECIFICADO,TEPACHE
26PES0002A,LIC. BENITO JUAREZ,0,INACTIVO,SECUNDARIA,GENERAL,NO ESPECIFICADO,ROSARIO
26DPR0473T,BENITO JUAREZ,0,INACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,PUERTO PEÃASCO
26MMS0050W,PLANTEL CONALEP 148. CABORCA,1,ACTIVO,,,,CABORCA
26MMS0334B,INSTITUTO SONORA A.C.,1,ACTIVO,,,NO ESPECIFICADO,PUERTO PEÃASCO
26MMS0278Z,PREPARATORIA ISEI,1,ACTIVO,,,NO ESPECIFICADO,HERMOSILLO
26KJN0605N,PREESCOLAR COMUNITARIO,0,INACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,CAJEME
26PET0013W,COLEGIO CENTRAL PROF. ANTONIO GAMEZ S. C.,0,INACTIVO,MEDIA SUPERIOR,PROFESIONAL TÃCNICO,NO ESPECIFICADO,HERMOSILLO
26PET0147L,INSTITUTO CENTRAL SONORENSE,0,INACTIVO,MEDIA SUPERIOR,PROFESIONAL TÃCNICO,NO ESPECIFICADO,CAJEME
26EST0009G,EDELBERTO PADILLA SAMANIEGO,1,ACTIVO,SECUNDARIA,TÃCNICA,NO ESPECIFICADO,NOGALES
26EJN0050V,CENTRO DE ASISTENCIA PRESCOLAR COMUNITARIO,0,INACTIVO,PREESCOLAR,GENERAL,NO ESPECIFICADO,CAJEME
26FEI0277B,MODULO DE EDUCACIÃN INICIAL NO ESCOLARIZADA (MOCTEZUMA 2),1,ACTIVO,INICIAL,INICIAL NO ESCOLARIZADA,NO ESPECIFICADO,VILLA PESQUEIRA
26DJN0242L,JIAPSI,1,ACTIVO,PREESCOLAR,GENERAL,NO ESPECIFICADO,HERMOSILLO
26DPR1016M,VASCO DE QUIROGA,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,BACOACHI
26DCC0283W,MI BARQUITO DEL SABER,1,ACTIVO,PREESCOLAR,INDÃGENA,NO ESPECIFICADO,HUATABAMPO
26DPR0748R,LEONA VICARIO,0,INACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,HERMOSILLO
26DCC0238J,EL COCHINITO,1,ACTIVO,PREESCOLAR,INDÃGENA,NO ESPECIFICADO,QUIRIEGO
26PBT0035K,INSTITUTO DE ESTUDIOS COMERCIALES Y ADMVOS,0,INACTIVO,FORMACIÃN PARA EL TRABAJO,FORMACIÃN PARA EL TRABAJO,NO ESPECIFICADO,SAN LUIS RÃO COLORADO
26PSN0054O,PROF. JESUS ARELLANO,0,INACTIVO,SECUNDARIA,GENERAL,NO ESPECIFICADO,MAGDALENA
26DJN0407D,MARTIRES DE SAN IGNACIO RIO MUERTO,1,ACTIVO,PREESCOLAR,GENERAL,NO ESPECIFICADO,SAN IGNACIO RÃO MUERTO
26FZF0038R,SUPERVISIÃN DE EDUCACIÃN FÃSICA ESTATAL 23,1,ACTIVO,,,,NOGALES
26DPR1139W,JAIME TORRES BODET,0,INACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,SAN IGNACIO RÃO MUERTO
26EPR0343Z,FRANCISCO CELAYA NUM. 2,0,INACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,SAN LUIS RÃO COLORADO
26EBT0186K,CENTRO DE DESARROLLO COMUNITARIO,0,INACTIVO,FORMACIÃN PARA EL TRABAJO,FORMACIÃN PARA EL TRABAJO,NO ESPECIFICADO,CUMPAS
26KPR0449C,CURSO COMUNITARIO,0,INACTIVO,PRIMARIA,COMUNITARIO,NO ESPECIFICADO,HUATABAMPO
26PBT0904I,INSTITUTO CULTURAL AMERICANO,0,INACTIVO,FORMACIÃN PARA EL TRABAJO,FORMACIÃN PARA EL TRABAJO,NO ESPECIFICADO,HERMOSILLO
26DIN0115Z,EDUCACION INICIAL NO ESCOLARIZADO NUEVA CREACION,1,ACTIVO,INICIAL,INICIAL INDÃGENA,NO ESPECIFICADO,NAVOJOA
26FAM0008Y,ALMACEN DE DISTRIBUCION NUM. 8 EN CABORCA,1,ACTIVO,,,,CABORCA
26PES0129G,INSTITUTO VARELA,0,INACTIVO,SECUNDARIA,GENERAL,NO ESPECIFICADO,HERMOSILLO
26NDI0023J,VIRSAN-IMSS,0,INACTIVO,INICIAL,LACTANTE Y MATERNAL,NO ESPECIFICADO,SAN LUIS RÃO COLORADO
26NET0001T,ESCUELA DE ENFERMERIA DEL IMSS,0,INACTIVO,MEDIA SUPERIOR,PROFESIONAL TÃCNICO,NO ESPECIFICADO,HERMOSILLO
26FEI0369S,MODULO DE EDUCACIÃN INICIAL NO ESCOLARIZADA REALENGO,1,ACTIVO,INICIAL,INICIAL NO ESCOLARIZADA,NO ESPECIFICADO,HERMOSILLO
26FEI0414O,MODULO DE EDUCACIÃN INICIAL NO ESCOLARIZADA ESPAÃA CAMPO NÃMERO UNO,1,ACTIVO,INICIAL,INICIAL NO ESCOLARIZADA,NO ESPECIFICADO,ETCHOJOA
26PET0189K,CESIN CENTRO DE ESTUDIOS Y SISTEMAS INFORMATICOS DEL NOROESTE S.C.,0,INACTIVO,MEDIA SUPERIOR,PROFESIONAL TÃCNICO,NO ESPECIFICADO,HERMOSILLO
26DPR0001D,SIERVO DE LA NACION,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,NAVOJOA
26DPR0071Z,NICOLAS BRAVO,0,INACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,CAJEME
26DBA0030W,SOR JUANA INES DE LA CRUZ,0,INACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,HERMOSILLO
26ETV0157C,TELESECUNDARIA 157,1,ACTIVO,SECUNDARIA,TELESECUNDARIA,NO ESPECIFICADO,ETCHOJOA
26PJN0307J,INSTITUTO NACION GRANDE,0,INACTIVO,PREESCOLAR,GENERAL,NO ESPECIFICADO,HERMOSILLO
26DPR1302G,PLAN DE AGUA PRIETA,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,CAJEME
26DML0039Z,CENTRO DE ATENCION MULTIPLE NUM. 39,0,INACTIVO,CAM,CAM,NO ESPECIFICADO,CAJEME
26PPR0027Q,CENTRO DE EDUCACION BILINGUE LIDEEL,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,HERMOSILLO
26USU1969J,DEPARTAMENTO DE CIENCIAS QUÃMICO-BIOLÃGICAS Y AGROPECUARIAS UNIVERSIDAD DE SONORA CAMPUS NAVOJOA,1,ACTIVO,SUPERIOR,LICENCIATURA Y POSGRADO,NO ESPECIFICADO,NAVOJOA
26EPR0351H,GENERAL VICENTE GUERRERO NUM. 2,0,INACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,HERMOSILLO
26MMS0288G,COLEGIO EDUCATIVO Y CULTURAL IBARRA,1,ACTIVO,,,,AGUA PRIETA
26MMS0223X,INSTITUTO ANGLO-MEXICANO A.C.,1,ACTIVO,,,NO ESPECIFICADO,HERMOSILLO
26DCC0047T,WIKIT,0,INACTIVO,PREESCOLAR,INDÃGENA,NO ESPECIFICADO,HUATABAMPO
26FIZ5014M,INSPECCION DE PRIMARIA ESTATAL NUM. 14,1,ACTIVO,,,,HUATABAMPO
26MMS0027V,CENTRO DE ATENCION PARA ESTUDIANTES CON DISCAPACIDAD GUAYMAS,1,ACTIVO,,,NO ESPECIFICADO,GUAYMAS
26PES0160Q,INSTITUTO DE PROCESOS Y PRACTICAS SONORA S. C.,0,INACTIVO,SECUNDARIA,GENERAL,NO ESPECIFICADO,CAJEME
26DPR0407U,VENUSTIANO CARRANZA,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,SAN IGNACIO RÃO MUERTO
26BBI0207N,BIBLIOTECA PUBLICA MUNICIPAL FRANCISCA LOPEZ VELARDE,1,ACTIVO,,,,MAGDALENA
26MMS0099O,CENTRO DE EDUCACION MEDIA SUPERIOR A DISTANCIA GOLFO SANTA CLARA,1,ACTIVO,,,NO ESPECIFICADO,SAN LUIS RÃO COLORADO
26DPR0897Z,EMILIANO ZAPATA,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,CAJEME
26FUA0139Z,UNIDAD DE SERVICIOS DE APOYO A LA EDUCACION REGULAR NUM. 139,1,ACTIVO,USAER,USAER,,CABORCA
26MSU0412Y,INSTITUTO TECNOLOGICO DE NOGALES,1,ACTIVO,,,,NOGALES
26KJN0029C,CURSO COMUNITARIO,1,ACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,BACANORA
26MMS0245I,CESIN CENTRO DE ESTUDIOS DE NAVOJOA,0,INACTIVO,,,NO ESPECIFICADO,NAVOJOA
26MMS0230G,COLEGIO SONORA,1,ACTIVO,,,NO ESPECIFICADO,CAJEME
26DPR0452G,MIGUEL HIDALGO Y COSTILLA,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,CAJEME
26DES0010E,ABELARDO L. RODRIGUEZ,1,ACTIVO,SECUNDARIA,GENERAL,NO ESPECIFICADO,GUAYMAS
26DPR0792E,NIÃOS HEROES,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,HERMOSILLO
26ETV0280C,TELESECUNDARIA 280,1,ACTIVO,SECUNDARIA,TELESECUNDARIA,NO ESPECIFICADO,SAN IGNACIO RÃO MUERTO
26MMS0344I,PREPARATORIA GENERAL ENRIQUE ESQUEDA A. C.,0,INACTIVO,,,,FRONTERAS
26ESU0013S,INSTITUTO SUPERIOR DE EDUCACION TELESECUNDARIA DEL EDO DE SO,0,INACTIVO,SUPERIOR,LICENCIATURA Y POSGRADO,NO ESPECIFICADO,NAVOJOA
26FIC0315Q,CENTRO DE APOYO A LA EDUCACIÃN INICIAL DEL CONAFE MIGUEL ALEMÃN (LA DOCE) 3,1,ACTIVO,,,,HERMOSILLO
26DPR0935L,MANUEL BARRERAS BARRERAS,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,HUATABAMPO
26BBE3487L,BIBLIOTECA DE LA SECUNDARIA TECNICA NUM. 24,1,ACTIVO,,,,CAJEME
26DEF0037H,CENTRO DE EDUCACION FISICA,0,INACTIVO,,,,HERMOSILLO
26MMS0006I,CENTRO DE ESTUDIOS TECNOLOGICOS DEL MAR NUM. 22,1,ACTIVO,,,NO ESPECIFICADO,HUATABAMPO
26MMS0279Z,MONTESSORI CORHALLI,1,ACTIVO,,,NO ESPECIFICADO,HERMOSILLO
26MMS0039Z,OFICINA DE PREPARATORIA ABIERTA EN HERMOSILLO,0,INACTIVO,,,NO ESPECIFICADO,HERMOSILLO
26DJN0011U,FEDERICO CHOPIN,1,ACTIVO,PREESCOLAR,GENERAL,NO ESPECIFICADO,SAN LUIS RÃO COLORADO
26KPR0279Z,CURSO COMUNITARIO,0,INACTIVO,PRIMARIA,COMUNITARIO,NO ESPECIFICADO,TEPACHE
26KPR0685F,CURSO COMUNITARIO,0,INACTIVO,PRIMARIA,COMUNITARIO,NO ESPECIFICADO,CUCURPE
26PES0132U,JOSE MARIA MORELOS Y PAVON,0,INACTIVO,SECUNDARIA,GENERAL,NO ESPECIFICADO,GUAYMAS
26DJN0679V,HELIO CARLOS AGANZA MORENO,1,ACTIVO,PREESCOLAR,GENERAL,NO ESPECIFICADO,HERMOSILLO
26DPR0822I,DIEGO RIVERA,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,HERMOSILLO
26PJN0793S,EL CASTILLITO,0,INACTIVO,PREESCOLAR,GENERAL,NO ESPECIFICADO,HERMOSILLO
26EPR0079Q,LUIS G DAVILA,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,GUAYMAS
26MMS0301K,I C A D E S,1,ACTIVO,,,NO ESPECIFICADO,HERMOSILLO
26MMS0029T,CENTRO DE ATENCION PARA ESTUDIANTES CON DISCAPACIDAD YAVAROS,1,ACTIVO,,,,HUATABAMPO
26DPR0720L,EMILIANO ZAPATA,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,CABORCA
26DPR0785V,HERMANOS FLORES MAGON,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,CABORCA
26DPR0809O,14 DE JUNIO,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,HUATABAMPO
26DPR1361W,ADOLFO DE LA HUERTA,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,HERMOSILLO
26PJN0170N,COLEGIO REAL FRONTERA,0,INACTIVO,PREESCOLAR,GENERAL,NO ESPECIFICADO,NOGALES
26DPR1252P,FRAY FRANCISCO EUSEBIO KINO,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,CAJEME
26DPR1380K,ALVARO OBREGON,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,AGUA PRIETA
26DPB0117C,BARTOLOME DE LAS CASAS,1,ACTIVO,PRIMARIA,INDÃGENA,NO ESPECIFICADO,HUATABAMPO
26MMS0059N,CENTRO DE BACHILLERATO TECNOLOGICO AGROPECUARIO NUM. 132,1,ACTIVO,,,NO ESPECIFICADO,EMPALME
26KPR0439W,CURSO COMUNITARIO,0,INACTIVO,PRIMARIA,COMUNITARIO,NO ESPECIFICADO,LA COLORADA
26KJN0309M,PREESCOLAR COMUNITARIO,0,INACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,HUATABAMPO
26EIC0003P,INSTITUTO DE CAPACITACION PARA EL TRABAJO UNIDAD AGUA PRIETA,1,ACTIVO,FORMACIÃN PARA EL TRABAJO,FORMACIÃN PARA EL TRABAJO,NO ESPECIFICADO,AGUA PRIETA
26DJN0221Z,ALVARO OBREGON,1,ACTIVO,PREESCOLAR,GENERAL,NO ESPECIFICADO,CAJEME
26DJN0438X,ENRIQUE GONZALEZ MARTINEZ,1,ACTIVO,PREESCOLAR,GENERAL,NO ESPECIFICADO,GUAYMAS
26PBH0223I,COLEGIO MUÂ¥OZ S.C. UNIDAD VILLA BONITA,1,ACTIVO,MEDIA SUPERIOR,BACHILLERATO GENERAL,NO ESPECIFICADO,HERMOSILLO
26DPR1282J,PLUTARCO ELIAS CALLES,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,CABORCA
26DPR1323T,VENUSTIANO CARRANZA,1,ACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,NOGALES
26AIZ0028M,INSPECCION ESCOLAR NUM. 28,0,INACTIVO,,,,ÃLAMOS
26PES0113F,SECUNDARIA SECCION 54 DEL SNTE NUM. 23,0,INACTIVO,SECUNDARIA,GENERAL,NO ESPECIFICADO,NAVOJOA
26EJN0139Y,ADELA OCHOA VELAZCO,1,ACTIVO,PREESCOLAR,GENERAL,NO ESPECIFICADO,SÃRIC
26DJN0052U,GREGORIO TORRES QUINTERO,1,ACTIVO,PREESCOLAR,GENERAL,NO ESPECIFICADO,HERMOSILLO
26KPR0610P,CURSO COMUNITARIO,0,INACTIVO,PRIMARIA,COMUNITARIO,NO ESPECIFICADO,NAVOJOA
26PBH0214A,PREPARATORIA CIEM,1,ACTIVO,MEDIA SUPERIOR,BACHILLERATO GENERAL,NO ESPECIFICADO,SAN LUIS RÃO COLORADO
26KJN0178K,PREESCOLAR COMUNITARIO,0,INACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,ÃLAMOS
26KJN0425C,PREESCOLAR COMUNITARIO,0,INACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,GUAYMAS
26DJN0181O,NUEVOS HORIZONTES,1,ACTIVO,PREESCOLAR,GENERAL,NO ESPECIFICADO,AGUA PRIETA
26KNP0013W,ESCUELA PRIMARIA,0,INACTIVO,PRIMARIA,COMUNITARIO,NO ESPECIFICADO,HERMOSILLO
26MMS0179Z,TELEBACHILLERATO COMUNITARIO FRONTERAS,1,ACTIVO,,,NO ESPECIFICADO,FRONTERAS
26FIZ0047W,INSPECCION ESCOLAR NUM. 47,1,ACTIVO,,,,ALTAR
26NDI0005U,ESTANCIA INFANTIL DYNATECH,0,INACTIVO,INICIAL,LACTANTE Y MATERNAL,NO ESPECIFICADO,HERMOSILLO
26KJN0214Z,PREESCOLAR COMUNITARIO,0,INACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,URES
26KJN0585Q,PREESCOLAR COMUNITARIO,1,ACTIVO,PREESCOLAR,COMUNITARIO,NO ESPECIFICADO,BAVISPE
26FUA5215W,UNIDAD DE SERVICIOS DE APOYO A LA EDUCACION REGULAR NUM. 215,1,ACTIVO,USAER,USAER,,SAHUARIPA
26DIN0091G,EDUCACION INICIAL NO ESCOLARIZADO NUEVA CREACION,0,INACTIVO,INICIAL,INICIAL INDÃGENA,NO ESPECIFICADO,HUATABAMPO
26DJN0395P,FRANCISCO JAVIER CLAVIJERO,1,ACTIVO,PREESCOLAR,GENERAL,NO ESPECIFICADO,HERMOSILLO
26DCC0074Q,CUAUHTEMOC,1,ACTIVO,PREESCOLAR,INDÃGENA,NO ESPECIFICADO,GUAYMAS
26DPR0513D,7 DE NOVIEMBRE,0,INACTIVO,PRIMARIA,GENERAL,NO ESPECIFICADO,CAJEME
26FIZ5009A,INSPECCION DE PRIMARIA ESTATAL NUM. 9,1,ACTIVO,,,,CAJEME
26DIN0034P,TABWIKOSEWUA,1,ACTIVO,INICIAL,INICIAL INDÃGENA,NO ESPECIFICADO,BÃCUM
